concessionaria,ano,valor
CONCEPA,2010,36525
NOVADUTRA,2010,22348
CONCER,2010,1364
CRT,2010,3492
ECOSUL,2010,191
AUTOPISTA PLANALTO SUL,2010,6746
AUTOPISTA LITORAL SUL,2010,9425
AUTOPISTA REGIS BITTENCOURT,2010,147633
AUTOPISTA FLUMINENSE,2010,51735
TRANSBRASILIANA,2010,1777
RODOVIA DO AÇO,2010,25274
AUTOPISTA FERNÃO DIAS,2010,176811
VIA BAHIA,2010,23749
ECO101 CONCESSIONARIA DE RODOVIAS S/A,2010,[]
MGO,2010,[]
CONCEBRA,2010,[]
CRO,2010,[]
MSVIA,2010,[]
CCR PONTE,2010,15251
VIA 040,2010,[]
VIA SUL,2010,[]
ECOVIAS DO CERRADO,2010,[]
CATARINENSE HOLDING,2010,[]
CONCEPA,2011,44395
NOVADUTRA,2011,22981
CONCER,2011,57744
CRT,2011,43738
ECOSUL,2011,3394
AUTOPISTA PLANALTO SUL,2011,145821
AUTOPISTA LITORAL SUL,2011,15316
AUTOPISTA REGIS BITTENCOURT,2011,285333
AUTOPISTA FLUMINENSE,2011,97656
TRANSBRASILIANA,2011,5358
RODOVIA DO AÇO,2011,6414
AUTOPISTA FERNÃO DIAS,2011,225843
VIA BAHIA,2011,17585
ECO101 CONCESSIONARIA DE RODOVIAS S/A,2011,[]
MGO,2011,[]
CONCEBRA,2011,[]
CRO,2011,[]
MSVIA,2011,[]
CCR PONTE,2011,11665
VIA 040,2011,[]
VIA SUL,2011,[]
ECOVIAS DO CERRADO,2011,[]
CATARINENSE HOLDING,2011,[]
CONCEPA,2012,63537
NOVADUTRA,2012,197592
CONCER,2012,65817
CRT,2012,4469
ECOSUL,2012,3225
AUTOPISTA PLANALTO SUL,2012,127485
AUTOPISTA LITORAL SUL,2012,2472
AUTOPISTA REGIS BITTENCOURT,2012,25993
AUTOPISTA FLUMINENSE,2012,186738
TRANSBRASILIANA,2012,6286
RODOVIA DO AÇO,2012,717
AUTOPISTA FERNÃO DIAS,2012,242674
VIA BAHIA,2012,228474
ECO101 CONCESSIONARIA DE RODOVIAS S/A,2012,571
MGO,2012,[]
CONCEBRA,2012,[]
CRO,2012,[]
MSVIA,2012,[]
CCR PONTE,2012,7711
VIA 040,2012,[]
VIA SUL,2012,[]
ECOVIAS DO CERRADO,2012,[]
CATARINENSE HOLDING,2012,[]
CONCEPA,2013,37462
NOVADUTRA,2013,21978
CONCER,2013,147913
CRT,2013,46837
ECOSUL,2013,415
AUTOPISTA PLANALTO SUL,2013,118814
AUTOPISTA LITORAL SUL,2013,26228
AUTOPISTA REGIS BITTENCOURT,2013,24881
AUTOPISTA FLUMINENSE,2013,269338
TRANSBRASILIANA,2013,98271
RODOVIA DO AÇO,2013,85752
AUTOPISTA FERNÃO DIAS,2013,271321
VIA BAHIA,2013,361641
ECO101 CONCESSIONARIA DE RODOVIAS S/A,2013,42575
MGO,2013,89
CONCEBRA,2013,[]
CRO,2013,[]
MSVIA,2013,[]
CCR PONTE,2013,15566
VIA 040,2013,[]
VIA SUL,2013,[]
ECOVIAS DO CERRADO,2013,[]
CATARINENSE HOLDING,2013,[]
CONCEPA,2014,44852
NOVADUTRA,2014,24156
CONCER,2014,14671
CRT,2014,31839
ECOSUL,2014,4725
AUTOPISTA PLANALTO SUL,2014,17788
AUTOPISTA LITORAL SUL,2014,411292
AUTOPISTA REGIS BITTENCOURT,2014,43489
AUTOPISTA FLUMINENSE,2014,33514
TRANSBRASILIANA,2014,7935
RODOVIA DO AÇO,2014,16664
